#,Producto,Proveedor,Descripcion,Requisitos del Sistema (Recomendado),Requisitos del Sistema (Real),Cadigo Factura,Precio por unidad,Total,Fecha de adquisicion,Fecha de renovacion,Adquiridas,En uso,Libres,Tipo de renovacion,Paquete 
55,Ideastatica,Descargar Ideasatica (Genesis),"LICENCIA IDEA STATICA STEEL (5739 a )
","S.O. : Windows 11 64 Bit
Graficos: 8GB VRAM compatible con OpenGL 4,2 (Nvidia GeForce 400 series, Nvidia GeForce 500 series, ATI Radeon HD 5000 series, AMD Radeon HD 6000 Series, ATI Radeon HD 7000 series)
CPU: Intel Core i7 AMD Ryzen 7
RAM: 16GB
Almacenamiento: 1,5 GB","S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM 
CPU: Intel Core i5 (11th) AMD Ryzen 5(3nd)
RAM: 16GB
Almacenamiento: 1,5 GB",771,"$ 41,724,015.98","$ 41,724,015.98",12/13/2023,12/13/2024,1,1,0,Anual,P. Proyectos
57,Suite Adobe,ADOBE ,"Adobe InDesign: Layout for print and digital publishing.
Adobe Lightroom: Photo editing and management.
Adobe Fresco: Digital painting and drawing.
Adobe Premiere Pro: Professional video editing.
Adobe After Effects: Visual effects and motion graphics.
Adobe Animate: 2D animations for web and apps.
Adobe Character Animator: Real-time character animation.
Adobe Media Encoder: Video encoding and exporting.
Adobe Premiere Rush: Quick video editing for creators.
Adobe XD: UX/UI design for apps and websites.
Adobe Dreamweaver: Web design and development.
Adobe Spark: Fast creation of graphics and web content.
Adobe Acrobat DC: PDF creation and editing.
Adobe Scan: Mobile document scanning.
Adobe Sign: Electronic document signing.
Adobe Dimension: 3D design and rendering.
Adobe Substance 3D: 3D modeling and texturing.
Adobe Aero: Augmented reality creation.
Adobe Audition: Audio editing and production.
Adobe Bridge: Media asset management.
Adobe Creative Cloud Libraries: Cloud storage and sharing.
Adobe Spark Post: Quick visual content for social media.
Adobe Captivate: eLearning content and simulations.
",,,Paga caja menor comarcial,"$ 96,000.00","$ 96,000.00",2/27/2024,3/27/2024,1,1,0,mensual,P. Comercial
1,Instalador Archicad,BIMTECH SOLUTIONS SAS,ARCHICAD 27 SPANISH COMMERCIAL NET LICENSE,,,FE566,"$ 14,938,898.52","$ 29,877,797.04",3/15/2024,NA,2,3,-1,Vitalicio,P. Proyectos
2,Licencia Anual Archicad,BIMTECH SOLUTIONS SAS,ARCHICAD ANNUAL SSA FOR NET LICENSE FORWARD,"S.O. : Windows 11 64 Bit
Graficos: 6GB VRAM compatible con Directx11 (GeForce RTX 2060, RTX 2070, RTX 2080, RTX 2080 Ti, RTX 3050 Ti, RTX 3060 Ti, RTX 3070 Ti, RTX 3080 Ti)
CPU: Intel Core i7 AMD Ryzen 7
RAM: 32 GB
Almacenamiento: 5 GB","S.O. : Windows 11 64 Bit
Graficos: 6GB VRAM compatible con Directx11 
CPU: Intel Core i7(11th) AMD Ryzen 7(3nd)
RAM: 32 GB
Almacenamiento: 5 GB",FE566,"$ 2,169,306.30","$ 6,507,918.90",3/15/2024,3/15/2025,3,3,0,Anual,P. Proyectos
3,3ds Max,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,"S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM  (NVIDIA RTX 5000 Ada, NVIDIA RTX 4000 Ada, NVIDIA RTX 3500 Ada, NVIDIA RTX 3000 Ada, NVIDIA RTX 2000 Ada, NVIDIA RTX 1000 Ada, NVIDIA RTX 500 Ada, NVIDIA RTX A5500 Laptop GPU, NVIDIA RTX A5000 Laptop GPU, NVIDIA RTX A4500 Laptop GPU, NVIDIA RTX A4000 Laptop GPU, NVIDIA RTX A3000 12GB Laptop GPU, NVIDIA RTX A3000 6GB Laptop GPU, NVIDIA RTX A2000 8GB Laptop GPU, NVIDIA RTX A2000 4GB Laptop GPU, NVIDIA RTX A1000 6GB Laptop GPU, NVIDIA RTX A1000 Laptop GPU, NVIDIA RTX A500 Laptop GPU, NVIDIA T1200 Laptop GPU, NVIDIA T600 Laptop GPU, NVIDIA T550 Laptop GPU, NVIDIA T500 Laptop GPU)
CPU: Intel Core i5 AMD Ryzen 5
RAM: 4 GB
Almacenamiento: 9 GB","S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM 
CPU: Intel Core i5(10th) AMD Ryzen 5(2nd)
RAM: 4 GB
Almacenamiento: 9 GB",FE237,,"$ 3,500,000.00",4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
4,Advance Steel,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,"S.O. : Windows 11 64 Bit
Graficos: 8GB VRAM compatible con Directx12 (GeForce RTX 2060 en adelante).
CPU: Intel Core i5(10th) AMD Ryzen 5(3th)
RAM: 32 GB
Almacenamiento: 16 GB","S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM 
CPU: Intel Core i5(10th) AMD Ryzen 5(3rd)
RAM: 8 GB
Almacenamiento: 16 GB",FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
5,Alias AutoStudio,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,,,FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
6,Architecture Engineering & Construction Collection,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,"S.O. : Windows 11 64 Bit
Graficos: 4 GB VRAM compatible con Directx11 (GeForce RTX 2060, RTX 2070, RTX 2080, RTX 2080 Ti, RTX 3050 Ti, RTX 3060 Ti, RTX 3070 Ti, RTX 3080 Ti)
CPU: Intel Core i5 AMD Ryzen 5
RAM: 32 GB
Almacenamiento: 30 GB","S.O. : Windows 11 64 Bit
Graficos: 4 GB VRAM compatible con Directx11
CPU: Intel Core i5(11th) AMD Ryzen 5(3rd)
RAM: 64 GB
Almacenamiento: 30 GB",FE237,,,4/2/2024,4/2/2025,1,0,1,Anual,P. Proyectos
7,Arnold,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,,,FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
8,AutoCAD - including specialized toolsets,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,"S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM compatible con Directx12 (GeForce RTX 2060 en adelante).
CPU: Intel Core i5 AMD Ryzen 5
RAM: 32 GB
Almacenamiento: 10 GB","S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM 
CPU: Intel Core i5(11th) AMD Ryzen 5(3rd)
RAM: 16 GB
Almacenamiento: 10 GB",FE237,,,4/2/2024,4/2/2025,250,208,42,Anual,P. Proyectos
9,AutoCAD LT,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,"S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM compatible con Directx12 (GeForce RTX 2060 en adelante).
CPU: Intel Core i5 AMD Ryzen 5
RAM: 32 GB
Almacenamiento: 10 GB","S.O. : Windows 11 64 Bit
Graficos: 4GB VRAM 
CPU: Intel Core i5(11th) AMD Ryzen 5(3rd)
RAM: 16 GB
Almacenamiento: 10 GB",FE237,,,4/2/2024,4/2/2025,250,224,26,Anual,P. Proyectos
